year,quarter,births,deaths,migration,population
1972,1,16969,5150,-12120,2865100
1972,2,16147,4634,-11686,2864799
1972,3,17604,4508,-11253,2864626
1972,4,18194,4718,-10821,2866469
1973,1,16540,5142,-10381,2869124
1973,2,16378,4602,-9880,2870141
1973,3,17605,4769,-9225,2872037
1973,4,18298,4744,-8323,2875648
1974,1,16731,4877,-7092,2880879
1974,2,16176,5086,-5499,2885641
1974,3,18609,4657,-3555,2891232
1974,4,18566,4867,-1271,2901629
1975,1,16467,4953,1308,2914057
1975,2,16177,4691,3882,2926879
1975,3,18189,4611,5970,2942247
1975,4,18858,4814,7088,2961795
1976,1,17010,5542,6830,2982927
1976,2,16898,4855,5381,3001225
1976,3,19362,4685,3334,3018649
1976,4,19613,4806,1301,3036660
1977,1,18097,4639,-169,3052768
1977,2,17531,4733,-1006,3066057
1977,3,19442,4865,-1464,3077849
1977,4,20081,5640,-1816,3090962
1978,1,18335,5019,-2300,3103587
1978,2,17326,4906,-2921,3114603
1978,3,19254,4924,-3523,3124102
1978,4,20151,5024,-3939,3134909
1979,1,16925,5178,-4023,3146097
1979,2,16984,5039,-3778,3153821
1979,3,19447,5052,-3312,3161988
1979,4,20425,5121,-2734,3173071
1980,1,17524,5160,-2151,3185641
1980,2,16742,5027,-1649,3195854
1980,3,19021,5050,-1298,3205920
1980,4,19773,5243,-1165,3218593
1981,1,16596,5540,-1309,3231958
1981,2,16555,5098,-1688,3241705
1981,3,18978,5241,-2196,3251474
1981,4,19236,5318,-2727,3263015
1982,1,16996,5463,-3182,3274206
1982,2,15816,5241,-3534,3282557
1982,3,17684,5242,-3808,3289598
1982,4,18840,5576,-4032,3298232
1983,1,16130,5555,-4227,3307464
1983,2,15384,5287,-4378,3313812
1983,3,17270,5352,-4444,3319531
1983,4,16958,5304,-4383,3327005
1984,1,15043,5370,-4163,3334276
1984,2,14438,5285,-3821,3339786
1984,3,16368,5272,-3449,3345118
1984,4,17472,5801,-3137,3352765
1985,1,15545,6091,-2963,3361299
1985,2,14654,5718,-2928,3367790
1985,3,16489,5587,-2980,3373798
1985,4,16941,5798,-3059,3381720
1986,1,15045,5956,-3116,3389804
1986,2,14238,5689,-3146,3395777
1986,3,16913,5704,-3176,3401180
1986,4,17355,6037,-3233,3409213
